Node,KC
C0004144,0.002312861
C0004153,0.001473779
C0004161,0.000278158
C0004171,8.55E-05
C0004178,0.000517454
C0004199,8.45E-05
C0004204,0.000254454
C0004235,8.96E-05
C0004237,8.67E-05
C0004238,0.009446667
C0004239,0.000424343
C0004245,0.000169968
C0004259,0.000168855
C0004268,0.005112847
C0004271,0.00424131
C0004277,8.45E-05
C0004292,8.44E-05
C0004302,8.43E-05
C0004309,8.50E-05
C0004320,0.000785622
C0004334,0.001293178
C0004339,0.001025643
C0004352,0.002492043
C0004358,0.006241472
C0004359,0.002530661
C0004364,0.01630569
C0004366,0.00244099
C0004371,0.000186705
C0004380,9.42E-05
C0004388,0.00017542
C0004391,0.017435338
C0004398,0.012720464
C0004400,0.000686855
C0004409,0.000342372
C0004418,8.63E-05
C0004419,0.013482705
C0004420,0.00059786
C0004422,0.00068857
C0004425,0.000343627
C0004430,8.47E-05
C0004434,0.000106917
C0004448,0.007346442
C0004454,0.001215136
C0004461,0.001785462
C0004475,0.000907165
C0004480,8.87E-05
C0004482,0.001413939
C0004483,0.000176368
C0004496,9.21E-05
C0004504,0.000169339
C0004509,0.000345223
C0004519,0.000423611
C0004521,0.000168874
C0004525,0.000258344
C0004526,0.00042809
C0004561,0.010897768
C0004565,0.000345095
C0004576,0.00076925
C0004587,0.000782654
C0004589,0.000515352
C0004590,0.000169951
C0004594,8.51E-05
C0004595,0.000425028
C0004597,0.000255574
C0004599,0.000347129
C0004600,0.002090626
C0004604,0.001300514
C0004606,0.00033769
C0004607,8.44E-05
C0004609,0.000169619
C0004610,0.005742527
C0004611,0.024115733
C0004613,0.00016988
C0004614,0.000169601
C0004618,0.000170938
C0004623,0.013290066
C0004626,0.002738085
C0004627,0.000881571
C0004630,8.52E-05
C0004632,0.000964069
C0004635,0.000592165
C0004641,0.000522257
C0004644,8.60E-05
C0004651,0.004182569
C0004654,8.44E-05
C0004659,0.00043355
C0004661,0.000254067
C0004663,8.74E-05
C0004698,0.001135092
C0004700,8.48E-05
C0004704,0.000859969
C0004708,8.43E-05
C0004726,0.000509929
C0004745,9.07E-05
C0004749,0.00042317
C0004754,8.49E-05
C0004755,0.000177772
C0004757,8.44E-05
C0004760,0.000639203
C0004763,0.003710887
C0004764,0.000172813
C0004768,8.44E-05
C0004770,0.000608624
C0004779,0.000253573
C0004781,0.00102045
C0004790,8.49E-05
C0004793,0.004386314
C0004799,0.000431618
C0004811,8.54E-05
C0004827,0.00052676
C0004830,8.63E-05
C0004836,0.000172497
C0004855,8.45E-05
C0004886,0.003755177
C0004891,8.45E-05
C0004895,0.000346888
C0004897,0.000513274
C0004905,0.000128374
C0004906,0.000169471
C0004910,0.000616566
C0004916,0.000511259
C0004920,0.00017646
C0004923,0.000355118
C0004927,0.003557188
C0004930,0.000467659
C0004933,0.002982242
C0004936,0.012017129
C0004941,0.000444873
C0004943,0.000737233
C0004945,8.43E-05
C0005001,0.000344227
C0005014,0.000169972
C0005018,0.000191278
C0005024,8.53E-05
C0005032,8.44E-05
C0005036,0.000618277
C0005050,0.000255742
C0005052,0.0002541
C0005064,0.001984826
C0005099,0.000171588
C0005100,0.000363328
C0005117,0.001211471
C0005119,0.000608217
C0005122,0.000337572
C0005136,0.0004254
C0005145,0.000170565
C0005146,8.44E-05
C0005148,0.000307346
C0005149,0.00077316
C0005186,0.001385547
C0005197,0.000171699
C0005198,0.000424948
C0005210,0.00043695
C0005214,0.000175679
C0005220,0.000694725
C0005221,0.000539072
C0005223,0.00017621
C0005248,0.000519659
C0005270,0.000186464
C0005283,0.000637543
C0005290,8.77E-05
C0005304,8.44E-05
C0005308,0.000779175
C0005330,8.46E-05
C0005364,8.47E-05
C0005365,8.45E-05
C0005367,0.000602973
C0005372,8.44E-05
C0005375,8.44E-05
C0005380,0.000603551
C0005382,0.000682841
C0005390,0.002155765
C0005400,0.00060535
C0005401,0.000170042
C0005403,0.000509302
C0005404,0.000506432
C0005411,0.000803203
C0005416,0.000168874
C0005417,0.00017387
C0005423,0.000192157
C0005424,0.000168874
C0005426,8.73E-05
C0005435,9.09E-05
C0005437,0.00252723
C0005446,8.44E-05
C0005456,0.008283482
C0005457,0.00017195
C0005479,0.000433424
C0005482,8.80E-05
C0005486,0.000854958
C0005491,0.000343786
C0005492,0.000391091
C0005495,0.002821731
C0005496,0.000169139
C0005507,0.001114633
C0005508,8.44E-05
C0005515,0.006793326
C0005516,0.001978057
C0005520,0.00025735
C0005525,0.014142928
C0005526,0.000168937
C0005527,0.001246474
C0005529,0.000169479
C0005532,0.000344088
C0005533,0.000169377
C0005539,8.61E-05
C0005540,8.44E-05
C0005544,8.46E-05
C0005551,8.80E-05
C0005553,0.000169355
C0005554,0.000956489
C0005557,0.000254903
C0005558,0.013754429
C0005560,0.000254426
C0005567,9.57E-05
C0005575,0.000970657
C0005580,8.43E-05
C0005586,0.002839822
C0005587,0.000255947
C0005591,0.000683835
C0005595,0.007205432
C0005604,0.000215823
C0005612,0.000192048
C0005615,0.004169574
C0005639,0.000262403
C0005642,0.000871487
C0005647,0.00047774
C0005658,0.000435431
C0005660,8.51E-05
C0005670,0.000547917
C0005680,0.001436031
C0005682,0.001638799
C0005683,0.000168874
C0005684,0.001955399
C0005686,8.52E-05
C0005694,8.45E-05
C0005695,0.000212838
C0005697,0.000693604
C0005699,8.62E-05
C0005700,0.000889594
C0005712,0.000169241
C0005716,0.000260101
C0005740,0.001495988
C0005745,0.001313129
C0005747,0.000175252
C0005758,0.002100066
C0005767,0.018193123
C0005770,0.000341972
C0005771,0.000361047
C0005773,0.002929692
C0005775,0.002313484
C0005778,0.001639771
C0005779,0.011196893
C0005789,0.001682337
C0005790,0.000255301
C0005791,0.000170126
C0005794,0.000168874
C0005795,0.002139158
C0005800,0.000514656
C0005802,0.003963324
C0005803,0.000182897
C0005804,0.000441792
C0005811,0.000168874
C0005818,0.000170475
C0005821,0.007869304
C0005822,8.50E-05
C0005823,0.00701414
C0005824,0.000256035
C0005825,8.50E-05
C0005832,8.47E-05
C0005833,0.000688912
C0005834,0.000949616
C0005836,0.000168874
C0005841,0.004034817
C0005843,8.48E-05
C0005845,0.000392398
C0005847,0.015802258
C0005848,0.000424168
C0005854,0.003366723
C0005857,8.43E-05
C0005859,8.76E-05
C0005861,0.000513226
C0005862,0.000439204
C0005863,0.00746741
C0005866,0.000339733
C0005867,0.001412504
C0005874,0.000597407
C0005885,0.000360777
C0005887,0.000128374
C0005889,0.005484893
C0005891,0.000253699
C0005893,0.001099697
C0005898,0.000624222
C0005901,8.45E-05
C0005902,8.83E-05
C0005903,0.001122479
C0005904,8.45E-05
C0005905,0.000696
C0005910,0.001504261
C0005911,0.000739517
C0005919,0.000337962
C0005938,0.000340133
C0005940,0.000812076
C0005944,0.000254013
C0005949,0.000169737
C0005953,0.004841652
C0005954,0.000168874
C0005955,0.000782893
C0005956,0.000777982
C0005957,8.44E-05
C0005959,8.63E-05
C0005961,0.001141528
C0005962,9.24E-05
C0005967,0.000341515
C0005971,0.001618418
C0005972,0.000613086
C0005974,0.000677536
C0005975,0.000680954
C0005976,0.000424545
C0005978,0.0013682
C0006006,8.44E-05
C0006008,8.58E-05
C0006012,0.000853357
C0006015,0.00063766
C0006017,0.001219437
C0006019,0.000449059
C0006023,0.000623127
C0006024,0.001412804
C0006029,8.88E-05
C0006033,0.000170543
C0006034,0.000511545
C0006050,0.000877723
C0006052,8.53E-05
C0006055,0.000378214
C0006057,0.000169709
C0006063,0.002432351
C0006069,0.000341872
C0006072,8.66E-05
C0006074,8.53E-05
C0006086,0.000643265
C0006087,0.000255697
C0006094,0.000339448
C0006098,0.001023225
C0006100,0.002862669
C0006104,0.037476689
C0006105,0.000345809
C0006106,0.000102314
C0006107,0.000526279
C0006109,8.45E-05
C0006110,0.000685471
C0006111,0.000553432
C0006112,8.67E-05
C0006114,0.001613002
C0006118,0.001636136
C0006119,0.000508605
C0006121,0.00333772
C0006123,0.00016892
C0006132,0.000693474
C0006138,8.44E-05
C0006141,0.005963862
C0006142,0.009292434
C0006145,0.000168874
C0006147,0.006310893
C0006153,0.000793653
C0006155,0.000682218
C0006159,0.003315046
C0006205,0.000422341
C0006217,0.00070266
C0006220,0.000429335
C0006222,0.000257975
C0006230,0.000176881
C0006233,8.53E-05
C0006255,0.002791505
C0006262,8.44E-05
C0006266,0.000350656
C0006267,0.0031404
C0006270,0.001658649
C0006271,0.008124967
C0006272,0.001032965
C0006274,0.000883657
C0006277,0.003408476
C0006279,0.006218315
C0006280,0.000599756
C0006281,0.000168874
C0006282,0.000304931
C0006285,0.002570467
C0006287,0.002513189
C0006288,0.000516262
C0006290,0.003021189
C0006298,0.000355422
C0006303,0.000796009
C0006304,8.66E-05
C0006309,0.00062641
C0006318,0.000182085
C0006322,0.000253731
C0006325,0.00063064
C0006349,8.56E-05
C0006352,0.00138812
C0006353,0.004790756
C0006357,8.49E-05
C0006359,8.44E-05
C0006370,0.000273573
C0006384,0.000259906
C0006395,0.001146414
C0006400,0.001290858
C0006405,0.002596327
C0006413,0.000169747
C0006418,8.92E-05
C0006425,0.000174737
C0006430,0.000253553
C0006433,0.000176198
C0006434,0.002283549
C0006435,8.75E-05
C0006437,8.65E-05
C0006440,0.000344275
C0006462,0.00034791
C0006463,0.000424955
C0006475,8.49E-05
C0006491,0.000170396
C0006496,8.45E-05
C0006497,0.000255187
